,type,feature_extractor,epoch,dataset,split,metric,value
124,trained,unfrozen,999,Seaquest-v5,validation,f1score,0
125,trained,unfrozen,999,Seaquest-v5,validation,specificity,0
126,trained,unfrozen,999,Seaquest-v5,validation,auc,0
127,trained,unfrozen,999,Seaquest-v5,validation,iou,0
128,trained,unfrozen,1999,DemonAttack-v5,train,loss,0.2742215981033534
129,trained,unfrozen,1999,DemonAttack-v5,train,accuracy,0
130,trained,unfrozen,1999,DemonAttack-v5,train,precision,0
131,trained,unfrozen,1999,DemonAttack-v5,train,recall,0
132,trained,unfrozen,1999,DemonAttack-v5,train,f1score,0
133,trained,unfrozen,1999,DemonAttack-v5,train,specificity,0
134,trained,unfrozen,1999,DemonAttack-v5,train,auc,0
135,trained,unfrozen,1999,DemonAttack-v5,train,iou,0
136,trained,unfrozen,1999,DemonAttack-v5,validation,loss,0.2741695848149313
137,trained,unfrozen,1999,DemonAttack-v5,validation,accuracy,0
138,trained,unfrozen,1999,DemonAttack-v5,validation,precision,0
139,trained,unfrozen,1999,DemonAttack-v5,validation,recall,0
140,trained,unfrozen,1999,DemonAttack-v5,validation,f1score,0
141,trained,unfrozen,1999,DemonAttack-v5,validation,specificity,0
142,trained,unfrozen,1999,DemonAttack-v5,validation,auc,0
143,trained,unfrozen,1999,DemonAttack-v5,validation,iou,0
144,trained,unfrozen,1999,Kangaroo-v5,train,loss,0.2061982959100645
145,trained,unfrozen,1999,Kangaroo-v5,train,accuracy,0
146,trained,unfrozen,1999,Kangaroo-v5,train,precision,0
147,trained,unfrozen,1999,Kangaroo-v5,train,recall,0
148,trained,unfrozen,1999,Kangaroo-v5,train,f1score,0
149,trained,unfrozen,1999,Kangaroo-v5,train,specificity,0
150,trained,unfrozen,1999,Kangaroo-v5,train,auc,0
151,trained,unfrozen,1999,Kangaroo-v5,train,iou,0
152,trained,unfrozen,1999,Kangaroo-v5,validation,loss,0.2062068935483694
153,trained,unfrozen,1999,Kangaroo-v5,validation,accuracy,0
154,trained,unfrozen,1999,Kangaroo-v5,validation,precision,0
155,trained,unfrozen,1999,Kangaroo-v5,validation,recall,0
156,trained,unfrozen,1999,Kangaroo-v5,validation,f1score,0
157,trained,unfrozen,1999,Kangaroo-v5,validation,specificity,0
158,trained,unfrozen,1999,Kangaroo-v5,validation,auc,0
159,trained,unfrozen,1999,Kangaroo-v5,validation,iou,0
160,trained,unfrozen,1999,Phoenix-v5,train,loss,0.38503391675562726
161,trained,unfrozen,1999,Phoenix-v5,train,accuracy,0
162,trained,unfrozen,1999,Phoenix-v5,train,precision,0
163,trained,unfrozen,1999,Phoenix-v5,train,recall,0
164,trained,unfrozen,1999,Phoenix-v5,train,f1score,0
165,trained,unfrozen,1999,Phoenix-v5,train,specificity,0
166,trained,unfrozen,1999,Phoenix-v5,train,auc,0
167,trained,unfrozen,1999,Phoenix-v5,train,iou,0
168,trained,unfrozen,1999,Phoenix-v5,validation,loss,0.38500966131687164
169,trained,unfrozen,1999,Phoenix-v5,validation,accuracy,0
170,trained,unfrozen,1999,Phoenix-v5,validation,precision,0
171,trained,unfrozen,1999,Phoenix-v5,validation,recall,0
172,trained,unfrozen,1999,Phoenix-v5,validation,f1score,0
173,trained,unfrozen,1999,Phoenix-v5,validation,specificity,0
174,trained,unfrozen,1999,Phoenix-v5,validation,auc,0
175,trained,unfrozen,1999,Phoenix-v5,validation,iou,0
176,trained,unfrozen,1999,Seaquest-v5,train,loss,0.14578482614466426
177,trained,unfrozen,1999,Seaquest-v5,train,accuracy,0
178,trained,unfrozen,1999,Seaquest-v5,train,precision,0
179,trained,unfrozen,1999,Seaquest-v5,train,recall,0
180,trained,unfrozen,1999,Seaquest-v5,train,f1score,0
181,trained,unfrozen,1999,Seaquest-v5,train,specificity,0
182,trained,unfrozen,1999,Seaquest-v5,train,auc,0
183,trained,unfrozen,1999,Seaquest-v5,train,iou,0
184,trained,unfrozen,1999,Seaquest-v5,validation,loss,0.1457823624368757
185,trained,unfrozen,1999,Seaquest-v5,validation,accuracy,0
186,trained,unfrozen,1999,Seaquest-v5,validation,precision,0
187,trained,unfrozen,1999,Seaquest-v5,validation,recall,0
188,trained,unfrozen,1999,Seaquest-v5,validation,f1score,0
189,trained,unfrozen,1999,Seaquest-v5,validation,specificity,0
190,trained,unfrozen,1999,Seaquest-v5,validation,auc,0
191,trained,unfrozen,1999,Seaquest-v5,validation,iou,0
192,trained,unfrozen,2999,DemonAttack-v5,train,loss,0.2620998387088641
193,trained,unfrozen,2999,DemonAttack-v5,train,accuracy,0
194,trained,unfrozen,2999,DemonAttack-v5,train,precision,0
195,trained,unfrozen,2999,DemonAttack-v5,train,recall,0
196,trained,unfrozen,2999,DemonAttack-v5,train,f1score,0
197,trained,unfrozen,2999,DemonAttack-v5,train,specificity,0
198,trained,unfrozen,2999,DemonAttack-v5,train,auc,0
199,trained,unfrozen,2999,DemonAttack-v5,train,iou,0
200,trained,unfrozen,2999,DemonAttack-v5,validation,loss,0.2620713257453811
201,trained,unfrozen,2999,DemonAttack-v5,validation,accuracy,0
202,trained,unfrozen,2999,DemonAttack-v5,validation,precision,0
203,trained,unfrozen,2999,DemonAttack-v5,validation,recall,0
204,trained,unfrozen,2999,DemonAttack-v5,validation,f1score,0
205,trained,unfrozen,2999,DemonAttack-v5,validation,specificity,0
206,trained,unfrozen,2999,DemonAttack-v5,validation,auc,0
207,trained,unfrozen,2999,DemonAttack-v5,validation,iou,0
208,trained,unfrozen,2999,Kangaroo-v5,train,loss,0.19693044210016844
209,trained,unfrozen,2999,Kangaroo-v5,train,accuracy,0
210,trained,unfrozen,2999,Kangaroo-v5,train,precision,0
211,trained,unfrozen,2999,Kangaroo-v5,train,recall,0
212,trained,unfrozen,2999,Kangaroo-v5,train,f1score,0
213,trained,unfrozen,2999,Kangaroo-v5,train,specificity,0
214,trained,unfrozen,2999,Kangaroo-v5,train,auc,0
215,trained,unfrozen,2999,Kangaroo-v5,train,iou,0
216,trained,unfrozen,2999,Kangaroo-v5,validation,loss,0.19693029252812266
217,trained,unfrozen,2999,Kangaroo-v5,validation,accuracy,0
218,trained,unfrozen,2999,Kangaroo-v5,validation,precision,0
219,trained,unfrozen,2999,Kangaroo-v5,validation,recall,0
220,trained,unfrozen,2999,Kangaroo-v5,validation,f1score,0
221,trained,unfrozen,2999,Kangaroo-v5,validation,specificity,0
222,trained,unfrozen,2999,Kangaroo-v5,validation,auc,0
223,trained,unfrozen,2999,Kangaroo-v5,validation,iou,0
224,trained,unfrozen,2999,Phoenix-v5,train,loss,0.36993166374359204
225,trained,unfrozen,2999,Phoenix-v5,train,accuracy,0
226,trained,unfrozen,2999,Phoenix-v5,train,precision,0
227,trained,unfrozen,2999,Phoenix-v5,train,recall,0
228,trained,unfrozen,2999,Phoenix-v5,train,f1score,0
229,trained,unfrozen,2999,Phoenix-v5,train,specificity,0
230,trained,unfrozen,2999,Phoenix-v5,train,auc,0
231,trained,unfrozen,2999,Phoenix-v5,train,iou,0
232,trained,unfrozen,2999,Phoenix-v5,validation,loss,0.36984267411753535
233,trained,unfrozen,2999,Phoenix-v5,validation,accuracy,0
234,trained,unfrozen,2999,Phoenix-v5,validation,precision,0
235,trained,unfrozen,2999,Phoenix-v5,validation,recall,0
236,trained,unfrozen,2999,Phoenix-v5,validation,f1score,0
237,trained,unfrozen,2999,Phoenix-v5,validation,specificity,0
238,trained,unfrozen,2999,Phoenix-v5,validation,auc,0
239,trained,unfrozen,2999,Phoenix-v5,validation,iou,0
240,trained,unfrozen,2999,Seaquest-v5,train,loss,0.13464778117997173
241,trained,unfrozen,2999,Seaquest-v5,train,accuracy,0
242,trained,unfrozen,2999,Seaquest-v5,train,precision,0
243,trained,unfrozen,2999,Seaquest-v5,train,recall,0
244,trained,unfrozen,2999,Seaquest-v5,train,f1score,0
245,trained,unfrozen,2999,Seaquest-v5,train,specificity,0
246,trained,unfrozen,2999,Seaquest-v5,train,auc,0
247,trained,unfrozen,2999,Seaquest-v5,train,iou,0
248,trained,unfrozen,2999,Seaquest-v5,validation,loss,0.1346441365312785
249,trained,unfrozen,2999,Seaquest-v5,validation,accuracy,0
250,trained,unfrozen,2999,Seaquest-v5,validation,precision,0
251,trained,unfrozen,2999,Seaquest-v5,validation,recall,0
252,trained,unfrozen,2999,Seaquest-v5,validation,f1score,0
253,trained,unfrozen,2999,Seaquest-v5,validation,specificity,0
254,trained,unfrozen,2999,Seaquest-v5,validation,auc,0
255,trained,unfrozen,2999,Seaquest-v5,validation,iou,0
256,trained,unfrozen,3999,DemonAttack-v5,train,loss,0.25045672997280405
257,trained,unfrozen,3999,DemonAttack-v5,train,accuracy,0
