,type,feature_extractor,epoch,dataset,split,metric,value
190,trained,unfrozen,3999,Qbert-v5,validation,auc,0
191,trained,unfrozen,3999,Qbert-v5,validation,iou,0
192,trained,unfrozen,4999,Phoenix-v5,train,loss,0.11028155138193384
193,trained,unfrozen,4999,Phoenix-v5,train,accuracy,0
194,trained,unfrozen,4999,Phoenix-v5,train,precision,0
195,trained,unfrozen,4999,Phoenix-v5,train,recall,0
196,trained,unfrozen,4999,Phoenix-v5,train,f1score,0
197,trained,unfrozen,4999,Phoenix-v5,train,specificity,0
198,trained,unfrozen,4999,Phoenix-v5,train,auc,0
199,trained,unfrozen,4999,Phoenix-v5,train,iou,0
200,trained,unfrozen,4999,Phoenix-v5,validation,loss,0.11044944007880986
201,trained,unfrozen,4999,Phoenix-v5,validation,accuracy,0
202,trained,unfrozen,4999,Phoenix-v5,validation,precision,0
203,trained,unfrozen,4999,Phoenix-v5,validation,recall,0
204,trained,unfrozen,4999,Phoenix-v5,validation,f1score,0
205,trained,unfrozen,4999,Phoenix-v5,validation,specificity,0
206,trained,unfrozen,4999,Phoenix-v5,validation,auc,0
207,trained,unfrozen,4999,Phoenix-v5,validation,iou,0
208,trained,unfrozen,4999,DemonAttack-v5,train,loss,0.06974826636190347
209,trained,unfrozen,4999,DemonAttack-v5,train,accuracy,0
210,trained,unfrozen,4999,DemonAttack-v5,train,precision,0
211,trained,unfrozen,4999,DemonAttack-v5,train,recall,0
212,trained,unfrozen,4999,DemonAttack-v5,train,f1score,0
213,trained,unfrozen,4999,DemonAttack-v5,train,specificity,0
214,trained,unfrozen,4999,DemonAttack-v5,train,auc,0
215,trained,unfrozen,4999,DemonAttack-v5,train,iou,0
216,trained,unfrozen,4999,DemonAttack-v5,validation,loss,0.06966990358392958
217,trained,unfrozen,4999,DemonAttack-v5,validation,accuracy,0
218,trained,unfrozen,4999,DemonAttack-v5,validation,precision,0
219,trained,unfrozen,4999,DemonAttack-v5,validation,recall,0
220,trained,unfrozen,4999,DemonAttack-v5,validation,f1score,0
221,trained,unfrozen,4999,DemonAttack-v5,validation,specificity,0
222,trained,unfrozen,4999,DemonAttack-v5,validation,auc,0
223,trained,unfrozen,4999,DemonAttack-v5,validation,iou,0
224,trained,unfrozen,4999,Qbert-v5,train,loss,0.2300612964167558
225,trained,unfrozen,4999,Qbert-v5,train,accuracy,0
226,trained,unfrozen,4999,Qbert-v5,train,precision,0
227,trained,unfrozen,4999,Qbert-v5,train,recall,0
228,trained,unfrozen,4999,Qbert-v5,train,f1score,0
229,trained,unfrozen,4999,Qbert-v5,train,specificity,0
230,trained,unfrozen,4999,Qbert-v5,train,auc,0
